id,name,pillar,domain,subdomain,weight,redress,multiplier,merit,notes
1,Enheduanna,Mathematics,Practical Geometry,base-60 & hymns,0.017,0,1.5,0.001,cross-track from Euclid +0.001
2,Imhotep,Engineering,Applied Structural,pyramids & surgery,0.011,0,1.0,0.001,
3,Euclid,Mathematics,Axiomatic Math,Elements,0.017,0,1.5,0.001,+0.001 from Eni
4,Sophie Germain,Mathematics,Number Theory,Germain primes,0.042,0.021,2.0,0.001,shadow games
5,Sofia Kovalevskaya,Mathematics,Calculus,PDEs,0.042,0.021,2.0,0.001,
6,Emmy Noether,Mathematics,Abstract Algebra,ring theory,0.021,0,2.0,0.001,
7,Marie Curie,Physics,Nuclear Physics,radioactivity,0.030,0.001,2.0,0.001,
8,Florence Nightingale,Health,Public Health,statistics & hygiene,0.021,0,2.0,0.001,
9,Hildegard of Bingen,Health,Herbalism,physica,0.021,0,2.0,0.001,
10,Maria Agnesi,Mathematics,Algebra,analytical algebra,0.021,0,2.0,0.001,
11,Al-Khwarizmi,Mathematics,Algebra,equations,0.006,0,0.5,0.001,
12,Émilie du Châtelet,Physics,Classical Mechanics,translation,0.011,0,1.5,0.001,
13,Hertha Ayrton,Physics,Electromagnetism,arc lamps,0.006,0,1.0,0.001,
14,Maria Goeppert-Mayer,Physics,Quantum Mechanics,nuclear shell,0.027,0.006,2.0,0.001,
15,Edith Clarke,Engineering,Electrical Engineering,power analysis,0.016,0,1.5,0.001,
16,Ada Lovelace,Engineering,Computer Architecture,first programmer,0.021,0,2.0,0.001,
17,Nettie Stevens,Biology,Genetics,sex chromosomes,0.021,0,2.0,0.001,
18,Barbara McClintock,Biology,Genetics,transposons,0.032,0.004,2.0,0.001,
19,Rosalind Franklin,Chemistry,X-ray Crystallography,DNA structure,0.026,0.005,2.0,0.001,stolen credit
20,Cecilia Payne,Astronomy,Stellar Evolution,stellar atmospheres,0.022,0.001,2.0,0.001,
21,Vera Rubin,Astronomy,Galactic Astronomy,dark matter,0.021,0,2.0,0.001,
22,Aristotle,Logic,Formal Logic,syllogisms,0.016,0,1.5,0.001,
23,Hypatia,Logic,Formal Logic,commentary,0.011,0,1.0,0.001,
24,George Boole,Logic,Symbolic Logic,Boolean algebra,0.016,0,1.5,0.001,
25,Kurt Gödel,Logic,Mathematical Logic,incompleteness,0.016,0,1.5,0.001,
26,Isaac Newton,Mathematics,Calculus,derivatives,0.016,0,1.5,0.001,
27,Gottfried Leibniz,Mathematics,Calculus,notation,0.016,0,1.5,0.001,
28,Ricci & Levi-Civita,Mathematics,Tensor Calculus,absolute differential,0.016,0,1.5,0.001,
29,Pia Nalli,Mathematics,Tensor Calculus,applications,0.011,0,1.0,0.001,
30,James Watt,Engineering,Mechanical Engineering,steam engine,0.011,0,1.0,0.001,
31,Nikola Tesla,Engineering,Electrical Engineering,AC,0.011,0,1.0,0.001,
32,John von Neumann,Engineering,Computer Architecture,stored program,0.011,0,1.0,0.001,
33,Carl Linnaeus,Biology,Taxonomy,classification,0.011,0,1.0,0.001,
34,Charles Darwin,Biology,Evolution,natural selection,0.016,0,1.5,0.001,
35,Gregor Mendel,Biology,Genetics,inheritance,0.016,0,1.5,0.001,
36,John Snow,Health,Public Health,cholera mapping,0.016,0,1.5,0.001,
37,Antoine Lavoisier,Chemistry,Modern Chemistry,conservation,0.016,0,1.5,0.001,
38,Hipparchus,Astronomy,Observational,star catalog,0.011,0,1.0,0.001,
39,Nicolaus Copernicus,Astronomy,Heliocentric,planetary motion,0.016,0,1.5,0.001,
40,Girolamo Fracastoro,Health,Epidemiology,contagion,0.011,0,1.0,0.001,
41,Adam Smith,Finance,Economics,Wealth of Nations,0.016,0,1.5,0.001,
42,Jane Jacobs,Finance,Economics,urban economics,0.021,0.001,2.0,0.001,
43,Augustine,Religion,Theology,City of God,0.016,0,1.5,0.001,
44,Julian of Norwich,Religion,Theology,Revelations,0.021,0,2.0,0.001,
45,John of the Cross,Religion,Mysticism,Ascent,0.016,0,1.5,0.001,
46,Teresa of Avila,Religion,Mysticism,Interior Castle,0.021,0,2.0,0.001,
47,Cicero,Governance,Constitutionalism,De Legibus,0.016,0,1.5,0.001,
48,John Locke,Governance,Democracy,two treatises,0.016,0,1.5,0.001,
49,Mary Wollstonecraft,Governance,Democracy,rights of woman,0.022,0.001,2.0,0.001,
50,Hammurabi,Law,Codified law,Codex,0.016,0,1.5,0.001,
51,Eleanor Roosevelt,Law,Human rights,UDHR,0.021,0,2.0,0.001,
52,Homer,Art,Epic poetry,Iliad,0.016,0,1.5,0.001,
53,Murasaki Shikibu,Art,Novel,Genji,0.021,0.001,2.0,0.001,
54,Johannes Gutenberg,Communication,Printing,movable type,0.016,0,1.5,0.001
